0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/hero/dot-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/hero/dot-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/hero/dot-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/howit-works/howit-works-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/howit-works/howit-works-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/howit-works/howit-works-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/feature/f-author-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/feature/f-author-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/feature/f-author-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/properties/properties-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/properties/properties-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/agent/agent-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/agent/agent-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/agent/agent-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/agent/agent-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/agent/agent-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/blog/latest-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/blog/latest-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/blog/latest-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/partner/partner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/partner/partner-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/partner/partner-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/partner/partner-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/partner/partner-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/img/footer-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/hero/hero-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/hero/hero-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/hero/hero-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/video-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/footer-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/feature/feature-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/feature/feature-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/feature/feature-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/feature/feature-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:48 +0900] "GET /semitest/img/feature/feature-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/js/bootstrap.min.js.map HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:34:37 +0900] "GET /semitest/css/bootstrap.min.css.map HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:36:08 +0900] "GET /semitest/blog.html HTTP/1.1" 200 20611
